tweet_id,date,time,tweet_text,tweet_stemmed,tweet_lemmatized,tweet_lon,tweet_lat,author_position,label_10
6,8-24-2014,0:4:22,None,rt reviewero per kashmiri keyboard jihadi flood caus armi hindu pilgrim disturb ecolog rescu done bÃ£ Ã¢ Ã¢,rt reviewero per kashmiri keyboard jihadis flood cause army hindu pilgrim disturb ecology rescue do bÃ£ Ã¢ Ã¢,None,None,None,0
,8-24-2014,0:7:37,None,rt ayaztaj everyon pleas pray pakistan india hit sever flood may god pakistanflood Ã¢ Ã¢,rt ayaztaj everyone please pray pakistan india hit severe flood may god pakistanfloods Ã¢ Ã¢,None,None,None,0
1,8-24-2014,0:8:44,None,rt anoopdewan ajai shukla kashmirflood indianarmi gain media fail busi standard column,rt anoopdewan ajai shukla kashmirfloods indianarmy gain medium fails business standard column,None,None,None,0
,8-24-2014,0:17:30,None,rt indira_l mt razarumi thought amp prayer kashmiri hang tree stop swept away flood srinagar ap,rt indira_l mt razarumi thought amp prayer kashmiris hang tree stop sweep away flood srinagar ap,None,None,None,0
7,8-24-2014,0:19:23,None,rt leopard flood water rais entir new stink stench come pakistan,rt leopard flood water raise entire new stink stench come pakistan,None,None,None,0
4,8-24-2014,0:25:27,None,typhoon hagupit half million evacu phillippin video good read,typhoon hagupit half million evacuate phillippines video good read,None,None,None,0
1,8-24-2014,0:34:51,None,rt feder punjab provinc remain one pakistan worst hit area recent flood south asia http Ã£ Ã¢ Ã¢,rt federation punjab province remain one pakistan worst hit area recent flood south asia http Ã£ Ã¢ Ã¢,None,None,None,0
8,8-24-2014,0:35:33,None,prayer vanuatu,prayer vanuatu,None,None,None,0
8,8-24-2014,0:41:38,None,umc_umcor umcor philippin team take tent w suppli ahead hagupit poteni hit taclob,umc_umcor umcor philippine team take tent w supply ahead hagupit potenially hit taclob,None,None,None,0
2,8-24-2014,0:41:43,None,ramindersay sad due flood kashmir hope heaven ok soon,ramindersays sad due flood kashmir hope heaven ok soon,None,None,None,0
2,8-24-2014,0:47:11,None,new post flood kill hundr india pakistan,new post flood kill hundred india pakistan,None,None,None,0
,8-24-2014,0:47:45,None,flood bind peopl across religi line jammu kashmir temporari shelter set gurudw,flood bind people across religious line jammu kashmir temporary shelter set gurudw,None,None,None,0
7,8-24-2014,0:53:1,None,tradesman woman look guarante local job visit detail,tradesman woman look guaranteed local job visit detail,None,None,None,0
0,8-24-2014,1:11:20,None,Ã£ Ã¢ Ã¥ relief materi distribut iaf air forc station awantipur flood affect peopl kashmirflood,Ã£ Ã¢ Ã¥ relief material distribute iaf air force station awantipur flood affected people kashmirfloods,None,None,None,0
9,8-24-2014,1:17:38,None,video scene wind damag heavi rain typhoon hagupit touch eastern philippin today telegraph youtub,video scene wind damage heavy rain typhoon hagupit touch eastern philippine today telegraph youtube,None,None,None,0
1,8-24-2014,1:26:16,None,offici announc first mer case egypt _islamhussein,official announcement first mers case egypt _islamhussein,None,None,None,0
8,8-24-2014,1:38:21,None,rt mqi_int rt aactiv mwf continu humanitarian aid work flood victim drqadri pakistan greenrevoluÃ£ Ã¢ Ã¢,rt mqi_int rt aactivism mwf continue humanitarian aid work flood victim drqadri pakistan greenrevoluÃ£ Ã¢ Ã¢,None,None,None,0
5,8-24-2014,1:38:32,None,corona viru awar black white flyer blackandwhit black white mphotocapril Ã»_,corona virus awareness black white flyer blackandwhite black white mphotocapril Ã»_,None,None,None,0
0,8-24-2014,1:39:15,None,rt officialmqm mqm chariti wing kkf lahor setup flood relief camp punjab,rt officialmqm mqm charity wing kkf lahore setup flood relief camp punjab,None,None,None,0
6,8-24-2014,1:48:59,None,vaccin diseas corona viru right diseas began spread oman coronaviru,vaccine disease corona virus right disease begin spread oman coronavirus,None,None,None,0
6,8-24-2014,1:49:55,None,expat guard mer coronaviru,expat guard mers coronavirus,None,None,None,0
7,8-24-2014,2:6:50,None,new post typhoon hagupit slam philippin million evacu shelter publish preach gospel,new post typhoon hagupit slam philippine million evacuate shelter publish preach gospel,None,None,None,0
4,8-24-2014,2:12:42,None,jack down wear garrick perri wear expect make cyclon debut tonight,jack down wear garrick perry wear expect make cyclone debut tonight,None,None,None,0
5,8-24-2014,2:33:34,None,lamafiaverd pakistani troop expand rescu flood hit area pakistani troop expand rescu oper f,lamafiaverde pakistani troop expand rescue flood hit area pakistani troop expand rescue operation f,None,None,None,0
3,8-24-2014,2:41:16,None,mexico hunker odil hit coast,mexico hunkers odile hit coast,None,None,None,0
4,8-24-2014,3:14:47,None,rt gawker death toll near devast flood continu india pakistan,rt gawker death toll near devastate flood continue india pakistan,None,None,None,0
7,8-24-2014,3:14:57,None,hope social media help disast respons embrac social media aid flood victim kashmir,hope social medium help disaster response embrace social medium aid flood victim kashmir,None,None,None,0
4,8-24-2014,3:17:41,None,rt awasssatti pakistan countri world pm visit flood effect area cost flood relief fund,rt awasssatti pakistan country world pm visit flood effect area cost flood relief fund,None,None,None,0
7,8-24-2014,3:51:50,None,worri spell pam last name right screw sarah sarah spain thank drewunga,worried spell pam last name right screw sarah sarah spain thanks drewunga,None,None,None,0
3,8-24-2014,3:53:46,None,vanuatu hit power cyclon Ã»Ã² sky newsÃ¥Ãªaustralia,vanuatu hit powerful cyclone Ã»Ã² sky newsÃ¥Ãªaustralia,None,None,None,0
1,8-24-2014,4:7:3,None,sydney morn gt local head cave pam bear,sydney morning gt local head cave pam bear,None,None,None,0
3,8-24-2014,4:8:44,None,rt adgpi flood relief updat personnel rescu jammu amp srinagar region armyrescu kashmirflood,rt adgpi flood relief update personnel rescue jammu amp srinagar region armyrescue kashmirfloods,None,None,None,0
8,8-24-2014,4:9:15,None,flood advanc toward south punjab next hour may see water torrent reach cusec pakistanflood,flood advance towards south punjab next hour may see water torrent reach cusecs pakistanfloods,None,None,None,0
1,8-24-2014,4:25:30,None,j amp ok battl worst flood sinc independ pm state review situat alert kashmir jammu via timesofindia,j amp ok battle worst flood since independence pm state review situation alert kashmir jammu via timesofindia,None,None,None,0
1,8-24-2014,4:26:11,None,j amp ok ground report flood leav behind damag devast floodwat reced jammu kashmir srinag,j amp ok ground report flood leave behind damage devastation floodwaters recede jammu kashmir srinag,None,None,None,0
7,8-24-2014,4:38:23,None,rubyph hagupit aftermath tacloban am ph time sunday newsph,rubyph hagupit aftermath tacloban am ph time sunday newsph,None,None,None,0
5,8-24-2014,4:45:16,None,dorr oliv doxi hydrocyclon model doxi cyclon,dorr oliver doxie hydrocyclone model doxie cyclone,None,None,None,0
8,8-24-2014,5:9:27,None,camel confirm sourc mer viru,camel confirm source mers virus,None,None,None,0
7,8-24-2014,5:24:33,None,Ã£ Ã¥ Ã¢Âª pakistan asia pakistan rush protect citi flood,Ã£ Ã¥ Ã¢Âª pakistan asia pakistan rush protect city flood,None,None,None,0
