tweet_id,date,time,tweet_text,tweet_stemmed,tweet_lemmatized,tweet_lon,tweet_lat,author_position,label_10
3,4-2-2014,0:7:2,None,armi medic team deploy jammu kashmir assist sick injur flood victim,army medical team deploy jammu kashmir assist sick injured flood victim,None,None,None,0
9,4-2-2014,0:24:16,None,cyclonepam destruct storm slam vanuatu,cyclonepam destructive storm slam vanuatu,None,None,None,0
,4-2-2014,0:49:13,None,slideshow philippin brace typhoon rubi,slideshow philippine brace typhoon ruby,None,None,None,0
,4-2-2014,0:54:36,None,flood affect peopl villag azad kashmir ndma geo news,flood affect people village azad kashmir ndma geo news,None,None,None,0
7,4-2-2014,0:57:8,None,rt icatunot rememb isi idiot say pakistan suffer mani flood isi control shit controÃ£ Ã¢ Ã¢,rt icatunot remember isi idiot say pakistan suffer many flood isi control shit controÃ£ Ã¢ Ã¢,None,None,None,0
,4-2-2014,3:6:51,None,cyclon pam leav trail devast pacif ocean,cyclone pam leave trail devastation pacific ocean,None,None,None,0
6,4-2-2014,3:55:18,None,pakistan flood sink boat carri wed parti boat carri wed parti sink pakistan flood kill,pakistan flood sink boat carry wed party boat carry wed party sink pakistan flood kill,None,None,None,0
1,4-2-2014,6:18:49,None,oxfam prepar respond cyclonepam unexpectedli veer west place number vanuatu Ã»Âª island directli eye storm,oxfam prepare respond cyclonepam unexpectedly veer west place number vanuatu Ã»Âªs islands directly eye storm,None,None,None,0
5,4-2-2014,6:21:38,None,rt abpnewstv pm modi leav jammu kashmir person assess damag caus flood state,rt abpnewstv pm modi leave jammu kashmir personally ass damage cause flood state,None,None,None,0
,4-2-2014,7:30:29,None,news typhoon hagupit rubi zone midwif jill famili say bad yolanda last,news typhoon hagupit ruby zone midwife jill family say bad yolanda last,None,None,None,0
5,4-2-2014,8:12:37,None,dec iss flyover typhoon hagupit rubyph eyewal amp outer r via youtub,dec i flyover typhoon hagupit rubyph eyewall amp outer r via youtube,None,None,None,0
9,4-2-2014,8:12:54,None,kingteejay hell yea shit good far pam muslim funni,kingteejay hell yea shit good far pam muslim funny,None,None,None,0
9,4-2-2014,8:35:32,None,infam man thank god typhoon hagupit wish homeless filipino die xolxol via xolxoldotph,infamous man thank god typhoon hagupit wish homeless filipino die xolxol via xolxoldotph,None,None,None,0
8,4-2-2014,9:4:15,None,critic alway easier construct solut mh prayformh,criticism always easier constructive solution mh prayformh,None,None,None,0
5,4-2-2014,9:9:44,None,latest flood news today pakistan th septemb news headlin,latest flood news today pakistan th september news headline,None,None,None,0
4,4-2-2014,10:15:44,None,typhoon hagupit rubi updat number weatherph weather announc,typhoon hagupit ruby update number weatherph weather announcement,None,None,None,0
,4-2-2014,10:44:36,None,yeah high alert cyclon come way die want u funer love u alldaychubbyboy,yeah high alert cyclone come way die want u funeral love u alldaychubbyboy,None,None,None,0
2,4-2-2014,10:45:31,None,rt lybr major hurrican hit mexico cabo san luca hope everyon safe one dime aid mexico unless freetahmoo Ã»_,rt lybr major hurricane hit mexico cabo san lucas hope everyone safe one dime aid mexico unless freetahmoo Ã»_,None,None,None,0
4,4-2-2014,11:31:18,None,philippin typhoon hagupit evacu step,philippine typhoon hagupit evacuation step,None,None,None,0
0,4-2-2014,13:24:27,None,kashmir flood googl upload databas peopl could Ã£ Ã¢ Ã¢ Ã£ Ã¢ Ã¢ daili news amp analysisÃ£ Ã¢ topnew,kashmir flood google uploads database people could Ã£ Ã¢ Ã¢ Ã£ Ã¢ Ã¢ daily news amp analysisÃ£ Ã¢ topnews,None,None,None,0
1,4-2-2014,13:32:48,None,tweet camel realli sourc mer,tweet camel really source mers,None,None,None,0
6,4-2-2014,14:5:18,None,anger rise indiaÃ£ Ã¢ Ã¢ kashmir valley peopl remain trap week flood,anger rise indiaÃ£ Ã¢ Ã¢ kashmir valley people remain trapped week flood,None,None,None,0
8,4-2-2014,15:12:39,None,shit scare brother live remot ish coastal area vanuatu get sleep realli need wake good news,shit scar brother life remote ish coastal area vanuatu get sleep really need wake good news,None,None,None,0
0,4-2-2014,15:23:39,None,india bjpsamvad newsnat help kashmiri help last year flood victim uttra khand ask amp govt,india bjpsamvad newsnation help kashmiris help last year flood victim uttra khand ask amp govt,None,None,None,0
4,4-2-2014,15:33:34,None,cyclon pam sound like freight train herald sun gabriela,cyclone pam sound like freight train herald sun gabriela,None,None,None,0
0,4-2-2014,15:53:19,None,cyclon pam leav trail devast pacif ocean,cyclone pam leave trail devastation pacific ocean,None,None,None,0
