tweet_id,date,time,tweet_text,tweet_stemmed,tweet_lemmatized,tweet_lon,tweet_lat,author_position,label_10
8,9-25-2013,0:7:39,None,rt pakistannew flood relief oper full swing samaa tv pakistan flood,rt pakistannews flood relief operation full swing samaa tv pakistan flood,None,None,None,0
2,9-25-2013,0:11:13,None,jammu amp kashmir flood centr send doctor prevent outbreak diseas centr assur med,jammu amp kashmir flood centre send doctor prevent outbreak disease centre assure med,None,None,None,0
8,9-25-2013,0:11:23,None,monster storm hit vanuatu,monster storm hit vanuatu,None,None,None,0
,9-25-2013,0:12:39,None,rt eeshhindu kashmir flood say abt muslim behavior indian armi muslim pakistan kashmir Ã¢ Ã¢,rt eeshhindu kashmir flood say abt muslim behavior indian army muslim pakistan kashmir Ã¢ Ã¢,None,None,None,0
5,9-25-2013,0:15:0,None,beauti satellit imag pam,beautiful satellite image pam,None,None,None,0
4,9-25-2013,0:24:18,None,typhoon hagupit evacu step,typhoon hagupit evacuation step,None,None,None,0
8,9-25-2013,0:26:12,None,fast fact mer coronaviru via rapplerdotcom,fast fact mers coronavirus via rapplerdotcom,None,None,None,0
4,9-25-2013,0:39:15,None,aamaadmiparti punjab unit send truck load medicin food etc kashmir flood hit victim jkfloodrelief,aamaadmiparty punjab unit send truck load medicine food etc kashmir flood hit victim jkfloodrelief,None,None,None,0
6,9-25-2013,0:46:23,None,rocktheriles also medicin drive post rubyph respons mission drop flu fever wound care med Ã¯_,rocktheriles also medicine drive post rubyph response mission drop flu fever wound care med Ã¯_,None,None,None,0
,9-25-2013,0:46:29,None,naturaldisast j amp ok flood omar thank centr say govt function thursday jammu amp kashmir ch,naturaldisasters j amp ok flood omar thanks centre say govt function thursday jammu amp kashmir ch,None,None,None,0
4,9-25-2013,0:53:7,None,usa gt gt video chief defend kashmir flood respons usa gt gt,usa gt gt video chief defend kashmir flood response usa gt gt,None,None,None,0
8,9-25-2013,0:55:4,None,typhoon hagupit made landfal philippin briefli restrengthen super typhoon friday back typhoon landfal,typhoon hagupit make landfall philippine briefly restrengthen super typhoon friday back typhoon landfall,None,None,None,0
7,9-25-2013,0:55:20,None,hagupit tacloban tacloban_c hope storm like yolandaph,hagupit tacloban tacloban_city hope storm like yolandaph,None,None,None,0
,9-25-2013,1:5:38,None,crimin c punjab instead offer arrest block case commit visit flood affect area relief work,criminal c punjab instead offer arrest block case commit visit flood affect area relief work,None,None,None,0
,9-25-2013,1:10:37,None,help kashmirflood,help kashmirfloods,None,None,None,0
7,9-25-2013,1:16:47,None,rt infonaija india pakistan flood kill nearli,rt infonaija india pakistan flood kill nearly,None,None,None,0
,9-25-2013,1:34:13,None,indian armi rescu pakistani golf team flood hit srinagar report,indian army rescue pakistani golf team flood hit srinagar report,None,None,None,0
,9-25-2013,1:34:40,None,rt tagbillfish thought go friend lo cabo baja mexico hit hurrican odil safe everyo Ã»_,rt tagbillfish thought go friend los cabos baja mexico hit hurricane odile safe everyo Ã»_,None,None,None,0
,9-25-2013,1:38:46,None,updat cyclon slam northeast australia reuter,update cyclone slam northeast australia reuters,None,None,None,0
,9-25-2013,1:43:1,None,thousand flee hagupit hit philippin aljazeera,thousand flee hagupit hit philippine aljazeera,None,None,None,0
4,9-25-2013,1:44:28,None,rt khanamerkhan relief amp rescu oper continu armi troop flood affect area kashmir amp punjab peopl rescu sÃ£ Ã¢ Ã¢,rt khanamerkhan relief amp rescue operation continue army troop flood affected area kashmir amp punjab people rescue sÃ£ Ã¢ Ã¢,None,None,None,0
,9-25-2013,1:49:59,None,kashmiri american offer telemedicin flood victim j amp ok,kashmiri american offer telemedicine flood victim j amp ok,None,None,None,0
3,9-25-2013,1:50:27,None,kashmir flood indian air forc chief visit srinagar tuesday indian air forc iaf chief arup raha wi,kashmir flood indian air force chief visit srinagar tuesday indian air force iaf chief arup raha wi,None,None,None,0
8,9-25-2013,2:9:30,None,better get adf aid readi climat disast vanuatu juliebishopmp,well get adf aid ready climate disaster vanuatu juliebishopmp,None,None,None,0
,9-25-2013,2:15:4,None,rt umer_pirzada mqm central punjab committe visit flood relief camp set mqm district lahor shimla pahari,rt umer_pirzada mqm central punjab committee visit flood relief camp set mqm district lahore shimla pahari,None,None,None,0
,9-25-2013,2:22:58,None,inquirerdotnet storm signal updat area signal pm rubyph sarapacia,inquirerdotnet storm signal update area signal pm rubyph sarapacia,None,None,None,0
3,9-25-2013,2:28:33,None,suzann jenkin free kindl tao pam pam babylon book romanc seri famili,suzanne jenkins free kindle tao pam pam babylon book romance series family,None,None,None,0
2,9-25-2013,2:29:28,None,pilot mh spoke air control shutoff data system,pilot mh speak air controller shutoff data system,None,None,None,0
0,9-25-2013,2:30:13,None,deadli kashmir flood trap thousand,deadly kashmir flood trap thousand,None,None,None,0
5,9-25-2013,2:30:42,None,peopl like homeless everi school destroy evacu centr full health facil damag vanuatu cyclonepam,people likely homeless every school destroy evacuation centre full health facility damage vanuatu cyclonepam,None,None,None,0
7,9-25-2013,2:32:42,None,rt frontlinekamran cm punjab everi ever flood travel cm also travel carri disast ahead dÃ£ Ã¢ Ã¢,rt frontlinekamran cm punjab every ever flood travel cm also travel carry disaster ahead dÃ£ Ã¢ Ã¢,None,None,None,0
,9-25-2013,2:36:13,None,rt maanimrankhan modi drown us flood send crore alli pmln pakistan need explain whereÃ£ Ã¢ Ã¢,rt maanimrankhan modi drown u flood send crore ally pmln pakistan need explain whereÃ£ Ã¢ Ã¢,None,None,None,0
6,9-25-2013,2:42:18,None,video chief defend kashmir flood respons,video chief defend kashmir flood response,None,None,None,0
7,9-25-2013,2:43:44,None,bright sun hold hope flood ravag jammu amp kashmir via timesofindia,bright sun hold hope flood ravage jammu amp kashmir via timesofindia,None,None,None,0
1,9-25-2013,2:44:36,None,rt maizahame flood hit nation idp helpless kpk pak armi zarb azab naya pakistan celebr shame Ã¢ Ã¢,rt maizahameed flood hit nation idp helpless kpk pak army zarbe azab naya pakistan celebrate shame Ã¢ Ã¢,None,None,None,0
7,9-25-2013,2:45:15,None,coastal area evacu cyclon pam batter new zealand cyclonepam newzealand gisborn wave,coastal area evacuate cyclone pam batter new zealand cyclonepam newzealand gisborne wave,None,None,None,0
,9-25-2013,2:47:5,None,bbc news power typhoon hagupit near philippin,bbc news powerful typhoon hagupit near philippine,None,None,None,0
6,9-25-2013,2:49:33,None,dec typhoon_rubi hagupit updat,dec typhoon_ruby hagupit update,None,None,None,0
,9-25-2013,2:51:2,None,overcom emot take first look outsid bad tile glass pipe broken tree porch odil cabo,overcome emotion take first look outside bad tile glass pipe break tree porch odile cabo,None,None,None,0
1,9-25-2013,2:53:6,None,rt naqvimukhtar armi save peopl trap flood j amp ok hope demand withdraw armi kashmir appreciÃ£ Ã¢ Ã¢,rt naqvimukhtar army save people trap flood j amp ok hope demand withdrawal army kashmir appreciÃ£ Ã¢ Ã¢,None,None,None,0
1,9-25-2013,2:53:44,None,samson_sharaf watch express tv showbaaz ask overse pakistani send money flood victim sorri imran khan ask,samson_sharaf watch express tv showbaaz ask oversee pakistani send money flood victim sorry imran khan ask,None,None,None,0
,9-25-2013,3:1:25,None,anyon know head middl east soon worri mer co v see info,anyone know head middle east soon worry mers co v see info,None,None,None,0
,9-25-2013,3:4:29,None,good morn hope everyon safest place soon typhoon pass us stay safe everyon rubyph,good morning hope everyone safest place soon typhoon pass u stay safe everyone rubyph,None,None,None,0
