tweet_id,date,time,tweet_text,tweet_stemmed,tweet_lemmatized,tweet_lon,tweet_lat,author_position,label_10
28133885034127,9-25-2013,10:26:38,"RT @farah_lodhi: Chairman #PTI @ImranKhanPTI at Lady Reading Hospital to inquire the health of #PeshawarChurchBlast Victims.
#Pakistan",rt farah_lodhi chairman pti imrankhanpti ladi read hospit inquir health peshawarchurchblast victim pakistan,rt farah_lodhi chairman pti imrankhanpti lady reading hospital inquire health peshawarchurchblast victim pakistan,72.9230467027632,33.63573935,"Islamabad, Pakistan",1
28133914352066,9-25-2013,10:26:39,"RT @SsamanJay: RIP :( ""@ShirazHassan: RIP Sheza Riaz, she was student of Edward College Peshawar. #PeshawarChurchBlasts #Pakistan http://t.ÃÂ¢ÃÂÃÂ¦",rt ssamanjay rip shirazhassan rip sheza riaz student edward colleg peshawar peshawarchurchblast pakistan,rt ssamanjay rip shirazhassan rip sheza riaz student edward college peshawar peshawarchurchblasts pakistan,67.1821931713384,25.147872,Karachi,1
28134018454855,9-25-2013,10:26:41,"RT @WashTimes: #Pakistan #earthquake leaves hundreds dead, homeless http://t.co/MYPJ77rWhI",rt washtim pakistan earthquak leav hundr dead homeless,rt washtimes pakistan earthquake leaf hundred dead homeless,-82.1885009,36.5959685,"Bristol, Virginia",1
28134375138344,9-25-2013,10:26:50,RT @RizWarraich: A harsh analysis on #Afghan war &amp; its impact on regional security. #Pakistan http://t.co/7UfuLgxRSf @HDNER @halilbilecen @ÃÂ¢ÃÂÃÂ¦,rt rizwarraich harsh analysi afghan war amp impact region secur pakistan hdner halilbilecen ÃÂ¢,rt rizwarraich harsh analysis afghan war amp impact regional security pakistan hdner halilbilecen ÃÂ¢,None,None,,1
28134440112046,9-25-2013,10:26:52,"RT @RT_com: PHOTO: Earthquake creates new island off #Pakistan's Gwadar coastline, dozens killed http://t.co/fmytyHEJf4 http://t.co/EjhDQGhÃÂ¢ÃÂÃÂ¦",rt rt_com photo earthquak creat new island pakistan gwadar coastlin dozen kill,rt rt_com photo earthquake create new island pakistan gwadar coastline dozen kill,-2.2441009,53.4791301,"Manchester, England",1
28134454955868,9-25-2013,10:26:52,"RT @CheSindhi: Baloch nation is helpless in Awaran District of occupied #Balochistan, world should help them. #BalochistanEarthQuake",rt chesindhi baloch nation helpless awaran district occupi balochistan world help balochistanearthquak,rt chesindhi baloch nation helpless awaran district occupy balochistan world help balochistanearthquake,None,None,Balochistan in My Heart,1
28134660141219,9-25-2013,10:26:57,"RT @SsamanJay: RIP :( ""@ShirazHassan: RIP Sheza Riaz, she was student of Edward College Peshawar. #PeshawarChurchBlasts #Pakistan http://t.ÃÂ¢ÃÂÃÂ¦",rt ssamanjay rip shirazhassan rip sheza riaz student edward colleg peshawar peshawarchurchblast pakistan,rt ssamanjay rip shirazhassan rip sheza riaz student edward college peshawar peshawarchurchblasts pakistan,19.1251107,47.5044752,Planet Earth,1
28134675282821,9-25-2013,10:26:57,RT @Oxfam: Pakistan #earthquake kills hundreds. 7.7 magnitude quake felt across #Pakistan &amp; India http://t.co/5QFMBI4olX,rt oxfam pakistan earthquak kill hundr magnitud quak felt across pakistan amp india,rt oxfam pakistan earthquake kill hundreds magnitude quake felt across pakistan amp india,174.7772092,-41.2887467,"Wellington, NZ",1
28135014899466,9-25-2013,10:27:05,"RT @AnasMallick: 300 of #Pakistan Navy men reach #Earthquake hit #Awaran, Balcohistan to take part in rescue operations.",rt anasmallick pakistan navi men reach earthquak hit awaran balcohistan take part rescu oper,rt anasmallick pakistan navy men reach earthquake hit awaran balcohistan take part rescue operation,None,None,,1
28135148819824,9-25-2013,10:27:08,700 asylum-seekers land on Italian shores http://t.co/RkB8lqXYce #News #Pakistan,asylum seeker land italian shore news pakistan,asylum seeker land italian shore news pakistan,None,None,,1
28135186023137,9-25-2013,10:27:09,Hahahaha For #PTI Trolls Only #PTI MPA Faisal Zaman's degree declared fake by Supreme Court @nadirlegharipti @AmirKhan_90 #Pakistan,hahahaha pti troll pti mpa faisal zaman degre declar fake suprem court nadirlegharipti amirkhan_ pakistan,hahahaha pti troll pti mpa faisal zaman degree declare fake supreme court nadirlegharipti amirkhan_ pakistan,55.1887608818332,25.0750095,#UAE - #Dubai,1
